Beginning train with params:
Attention: True, Bidirectional: False


Epoch 1 out of 2000Batch: 1, Loss: 12.254023551940918
Batch: 2, Loss: 12.25191593170166
Batch: 3, Loss: 12.097244262695312
Batch: 4, Loss: 11.602534294128418
Batch: 5, Loss: 10.74337100982666
Batch: 6, Loss: 9.429019927978516
Batch: 7, Loss: 9.444721221923828
Batch: 8, Loss: 9.950742721557617
Batch: 9, Loss: 9.674982070922852
Batch: 10, Loss: 9.02640151977539
Batch: 11, Loss: 9.089177131652832
Batch: 12, Loss: 9.581668853759766
Batch: 13, Loss: 9.441471099853516
Batch: 14, Loss: 9.22257137298584

Epoch 2 out of 2000Batch: 1, Loss: 9.255640029907227
Batch: 2, Loss: 8.952438354492188
Batch: 3, Loss: 9.139421463012695
Batch: 4, Loss: 8.786409378051758
Batch: 5, Loss: 9.008625984191895
Batch: 6, Loss: 8.807516098022461
Batch: 7, Loss: 8.86252498626709
Batch: 8, Loss: 8.724947929382324
Batch: 9, Loss: 8.856316566467285
Batch: 10, Loss: 8.785757064819336
Batch: 11, Loss: 8.941275596618652
Batch: 12, Loss: 8.58899974822998
Batch: 13, Loss: 8.863584518432617
Batch: 14, Loss: 8.720307350158691

Epoch 3 out of 2000Batch: 1, Loss: 8.818750381469727
Batch: 2, Loss: 8.737983703613281
Batch: 3, Loss: 8.455233573913574
Batch: 4, Loss: 8.4989595413208
Batch: 5, Loss: 8.659975051879883
Batch: 6, Loss: 8.699247360229492
Batch: 7, Loss: 8.280353546142578
Batch: 8, Loss: 8.58824634552002
Batch: 9, Loss: 8.596600532531738
Batch: 10, Loss: 8.988567352294922
Batch: 11, Loss: 8.471484184265137
Batch: 12, Loss: 8.619377136230469
Batch: 13, Loss: 8.737133979797363
Batch: 14, Loss: 8.88932991027832

Epoch 4 out of 2000Batch: 1, Loss: 8.640177726745605
Batch: 2, Loss: 8.534903526306152
Batch: 3, Loss: 8.410499572753906
Batch: 4, Loss: 8.502030372619629
Batch: 5, Loss: 8.598462104797363
Batch: 6, Loss: 8.691084861755371
Batch: 7, Loss: 8.481680870056152
Batch: 8, Loss: 8.450153350830078
Batch: 9, Loss: 8.707608222961426
Batch: 10, Loss: 8.197833061218262
Batch: 11, Loss: 8.69233512878418
Batch: 12, Loss: 8.517692565917969
Batch: 13, Loss: 8.462206840515137
Batch: 14, Loss: 8.557374000549316

Epoch 5 out of 2000Batch: 1, Loss: 8.287367820739746
Batch: 2, Loss: 8.274173736572266
Batch: 3, Loss: 8.292609214782715
Batch: 4, Loss: 8.368741035461426
Batch: 5, Loss: 8.443498611450195
Batch: 6, Loss: 8.37315845489502
Batch: 7, Loss: 8.525716781616211
Batch: 8, Loss: 8.470317840576172
Batch: 9, Loss: 8.537108421325684
Batch: 10, Loss: 8.515896797180176
Batch: 11, Loss: 8.146169662475586
Batch: 12, Loss: 8.457921981811523
Batch: 13, Loss: 8.106940269470215
Batch: 14, Loss: 8.476166725158691

Epoch 6 out of 2000Batch: 1, Loss: 8.118280410766602
Batch: 2, Loss: 8.444625854492188
Batch: 3, Loss: 8.2113676071167
Batch: 4, Loss: 8.442530632019043
Batch: 5, Loss: 8.281451225280762
